Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
05G18;Grundschule im Beerwinkel;5;5;;BGFF e.V.
05G19;Grundschule am Ritterfeld;17;;Evtl. Träger mit Mary-Poppins verwechselt;BGFF e.V.
05G20;Carl-Schurz-Grundschule;14;;;
05G21;Paul-Moor-Grundschule;4;;;
05G22;Christian-Morgenstern-Grundschule;28;10;;tjfbg gGmbH 
05G23;Grundschule am Brandwerder;16;;;
05G24;Grundschule am Windmühlenberg;1;;;
05G25;Grundschule am Wasserwerk;9;;;tjfbg gGmbH 
05G26;Grundschule am Amalienhof;10;18;;Intellego 
05G27;Peter-Härtling-Grundschule;20;25;;Intellego 
05G28;Grundschule an der Pulvermühle;30;;;Sozial-kulturelle Netzwerke casa e.V. 
05G29;Mary-Poppins-Grundschule;5;;;
05G30;Birken-Grundschule;22;24;;Intellego 
05K01;Martin-Buber-Oberschule;26;16;;Studienkreis GmbH 
05K02;Carlo-Schmid-Oberschule;62;;;
05K03;Bertolt-Brecht-Oberschule;82;;;Sozial-kulturelle Netzwerke casa e.V. 
05K04;Heinrich-Böll-Oberschule (Integrierte Sekundarschule);31;32;;Sozial-kulturelle Netzwerke casa e.V. 
05K05;B.-Traven-Gemeinschaftsschule;52;55;;Sozial-kulturelle Netzwerke casa e.V. 
05K06;Wolfgang-Borchert-Schule (Integrierte Sekundarschule);17;;;Sozial-kulturelle Netzwerke casa e.V. 
05K07;Schule an der Jungfernheide;23;19;;Sozial-kulturelle Netzwerke casa e.V. 
05K08;Schule an der Haveldüne;42;42;;tjfbg gGmbH 
05K09;Schule am Staakener Kleeblatt;38;32;;Sozial-kulturelle Netzwerke casa e.V. 
05Y01;Freiherr-von-Stein-Gymnasium;47;24;;Intellego 
05Y02;Kant-Gymnasium;75;32;;Intellego 
05Y03;Hans-Carossa-Gymnasium;25;;;Studierende machen Schule 
05Y04;Carl-Friedrich-von-Siemens-Gymnasium;12;;;
05Y05;Lily-Braun-Gymnasium;5;;;
06G01;Nord Grundschule;13;13;;Lernwerk GMBH 
06G02;Südgrundschule;16;16;;Tuned e.V. 
06G03;Johannes-Tews-Grundschule;1;;;
06G04 ;Erich-Kästner-Grundschule ;;1;;Lernwerk GMBH 
06G05;Conrad-Schule;1;8;;tjfbg gGmbH 
06G06;Mühlenau-Grundschule;1;1;;tjfbg gGmbH 
06G07;Zinnowaldschule;10;12;;Lernwerk GMBH 
06G08;Schweizerhof GS;10;10;;Intellego 
06G09;Dreilinden-Grundschule;16;;;
06G12;Quentin-Blake-Grundschule;8;7;;Lernwerk GMBH 
06G14;Sachsenwald-Grundschule;30;31;;tjfbg gGmbH 
06G17;Grundschule am Insulaner;14;16;;Lernwerk GMBH 
06G18;Athene-GS;22;5;;tjfbg gGmbH 
06G20;Alt-Lankwitzer-GS;4;8;;tjfbg gGmbH 
06G21;Paul-Schneider-GS;41;;;
06G23;Kronach-GS;5;8;;tjfbg gGmbH 
06G25;Clemens-Brentano-Grundschule;12;12;;tjfbg gGmbH 
06G26;Käthe-Kruse-Grundschule;Gesamtliste mit 06G23;;;
06G27;Grundschule am Königsgraben;7;;;tjfbg gGmbH 
06G28;Ludwig-Bechstein-Grundschule;7;14;;tjfbg gGmbH 
06G29;Grundschule am Karpfenteich;8;6;;tjfbg gGmbH 
06G30;Mercator-Grundschule;16;8;;schoolcoachBTL 
06G31;Grundschule an der Bäke;52;;;
06G33;Friedrich-Drake-Grundschule;9;10;;tjfbg gGmbH 
06K01;John-F.-Kennedy-Schule;8;16;;Lernwerk GMBH 
06K02;Wilma-Rudolph-Oberschule;100;;;Wilma-Rudolph-Oberschule Alumni-Netzwerk e.V. 
06K03;Kopernikus-Schule (bis Kl. 10);46;;;
06K04;Bröndby-Schule;32;32;;Intellego 
06K08;Max-von-Laue-Schule;15;40;;tjfbg gGmbH 
06K10;Helene-Lange-Schule;21;31;;Lernwerk GMBH 
06K11;Anna-Essinger-Gemeinschaftsschule;14;;;
06S01;Pestalozzi-Schule;7;;;
06S02;Biesalski-Schule;4;8;;Lernwerk GMBH 
06Y03;Arndt-Gymnasium;21;;;Wilma-Rudolph-Oberschule Alumni-Netzwerk e.V. 
06Y04;Dreilinden-Gymnasium;20;30;;Intellego 
06Y07;Paulsen-Gymnasium;5;;;
06Y08;Hermann-Ehlers-Gymnasium;41;43;;Lehrreich Wilmersdorf
06Y11;Goethe-Gymnasium;18;12;;Lernwerk GMBH 
06Y12;Willi-Graf-Gymnasium;2;8;;Lernwerk GMBH 
07G01;Spreewald;38;37;;Studierende machen Schule 
07G02;Finow-Grundschule;35;27;;Lehrreich Wilmersdorf
07G05;Havelland-Grundschule;8;7;;tjfbg gGmbH 
07G06;Sternberg-Grundschule;23;24;;Studierende machen Schule 
07G12;Scharmützelsee-Grundschule;21;21;;nbhs.de 
07G13;Neumark-Grundschule;25;;;Studierende machen Schule 
07G14;Löcknitz-Grundschule;15;13;;Lehrreich Wilmersdorf
07G15;Fläming-Grundschule;23;;;
07G16;Ruppin-Grundschule;3;3;;tjfbg gGmbH 
07G17;Stechlinsee-Grundschule;2;;;
07G18;Grundschule am Barbarossaplatz;4;;;
07G19;Paul-Simmel-Grundschule;36;;;Studierende machen Schule 
07G20;Maria-Montessori-Grundschule;31;32;;Intellego 
07G21;Schule auf dem Tempelhofer Feld;35;;;
07G22;Paul-Klee-Grundschule;8;8;;Intellego 
07G23;Schätzelberg-Grundschule;36;12;Schätzelberg Grundschule und Ikarus-Grundschule ;Studienkreis GmbH 
07G25;Mascha-Kaléko-Grundschule;13;12;;Studierende machen Schule 
07G26;Grundschule im Taunusviertel;7;5;;Studierende machen Schule 
07G27;Rudolf-Hildebrand-Grundschule;17;5;;tjfbg gGmbH 
07G28;Kiepert-Grundschule;31;;;
07G29;Käthe-Kollwitz-Grundschule;7;;;
07G32;Bruno-H.-Bürgel-Grundschule;16;16;;Studierende machen Schule 
07G35;Nahariya Grundschule;34;;;
